,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
0,536540,22968,ROSE COTTAGE KEEPSAKE BOX ,4,12/1/2010 14:05,9.95,14911,EIRE
1,536540,85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,6,12/1/2010 14:05,2.95,14911,EIRE
2,536540,85071C,"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",6,12/1/2010 14:05,2.55,14911,EIRE
3,536540,22355,CHARLOTTE BAG SUKI DESIGN,50,12/1/2010 14:05,0.85,14911,EIRE
4,536540,21579,LOLITA  DESIGN  COTTON TOTE BAG,6,12/1/2010 14:05,2.25,14911,EIRE
5,536540,21576,LETS GO SHOPPING COTTON TOTE BAG,6,12/1/2010 14:05,2.25,14911,EIRE
6,536540,22147,FELTCRAFT BUTTERFLY HEARTS,12,12/1/2010 14:05,1.45,14911,EIRE
7,536540,22150,3 STRIPEY MICE FELTCRAFT,12,12/1/2010 14:05,1.95,14911,EIRE
8,536540,22492,MINI PAINT SET VINTAGE ,36,12/1/2010 14:05,0.65,14911,EIRE
9,536540,22493,PAINT YOUR OWN CANVAS SET,24,12/1/2010 14:05,1.65,14911,EIRE
10,536540,21833,CAMOUFLAGE LED TORCH,12,12/1/2010 14:05,1.69,14911,EIRE
11,536540,85135B,BLUE DRAGONFLY HELICOPTER,2,12/1/2010 14:05,7.95,14911,EIRE
12,536540,85136A,YELLOW SHARK HELICOPTER,2,12/1/2010 14:05,7.95,14911,EIRE
13,536540,85136C,RED SHARK HELICOPTER,2,12/1/2010 14:05,7.95,14911,EIRE
14,536540,21055,TOOL BOX SOFT TOY ,4,12/1/2010 14:05,8.95,14911,EIRE
15,536540,21056,DOCTOR'S BAG SOFT TOY,4,12/1/2010 14:05,8.95,14911,EIRE
16,536540,21889,WOODEN BOX OF DOMINOES,24,12/1/2010 14:05,1.25,14911,EIRE
17,536540,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,12/1/2010 14:05,1.25,14911,EIRE
18,536540,22622,BOX OF VINTAGE ALPHABET BLOCKS,6,12/1/2010 14:05,9.95,14911,EIRE
19,536540,C2,CARRIAGE,1,12/1/2010 14:05,50,14911,EIRE
20,536541,21915,RED  HARMONICA IN BOX ,12,12/1/2010 14:05,1.25,14911,EIRE
21,536803,22113,GREY HEART HOT WATER BOTTLE,6,12/2/2010 16:33,3.75,14911,EIRE
22,C536817,22187,GREEN CHRISTMAS TREE CARD HOLDER,-1,12/2/2010 17:08,4.25,14156,EIRE
23,C536817,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,12/2/2010 17:08,3.25,14156,EIRE
24,536885,21832,CHOCOLATE CALCULATOR,24,12/3/2010 11:42,1.65,,EIRE
25,536885,21523,DOORMAT FANCY FONT HOME SWEET HOME,10,12/3/2010 11:42,6.75,,EIRE
26,536885,48184,DOORMAT ENGLISH ROSE ,10,12/3/2010 11:42,6.75,,EIRE
27,536885,22837,HOT WATER BOTTLE BABUSHKA ,24,12/3/2010 11:42,4.65,,EIRE
28,536885,22632,HAND WARMER RED RETROSPOT,12,12/3/2010 11:42,2.1,,EIRE
29,536885,22834,HAND WARMER BABUSHKA DESIGN,12,12/3/2010 11:42,2.1,,EIRE
30,536885,22867,HAND WARMER BIRD DESIGN,12,12/3/2010 11:42,2.1,,EIRE
31,536885,22865,HAND WARMER OWL DESIGN,12,12/3/2010 11:42,2.1,,EIRE
32,536885,22866,HAND WARMER SCOTTY DOG DESIGN,12,12/3/2010 11:42,2.1,,EIRE
33,536885,22312,OFFICE MUG WARMER POLKADOT,36,12/3/2010 11:42,2.95,,EIRE
34,536885,51014C,"FEATHER PEN,COAL BLACK",36,12/3/2010 11:42,0.85,,EIRE
35,536890,17090A,LAVENDER INCENSE 40 CONES IN TIN,36,12/3/2010 11:48,0.85,14156,EIRE
36,536890,17084R,ASSORTED INCENSE PACK,1440,12/3/2010 11:48,0.16,14156,EIRE
37,536890,17091J,VANILLA INCENSE IN TIN,72,12/3/2010 11:48,0.85,14156,EIRE
38,536975,84352,SILVER CHRISTMAS TREE BAUBLE STAND ,1,12/3/2010 14:04,16.95,14911,EIRE
39,536975,22948,METAL DECORATION NAUGHTY CHILDREN ,24,12/3/2010 14:04,0.85,14911,EIRE
40,536975,22945,CHRISTMAS METAL TAGS ASSORTED ,36,12/3/2010 14:04,0.85,14911,EIRE
41,536975,22944,CHRISTMAS METAL POSTCARD WITH BELLS,24,12/3/2010 14:04,1.25,14911,EIRE
42,536975,22158,3 HEARTS HANGING DECORATION RUSTIC,8,12/3/2010 14:04,2.95,14911,EIRE
43,536975,22572,ROCKING HORSE GREEN CHRISTMAS ,12,12/3/2010 14:04,0.85,14911,EIRE
44,536975,22571,ROCKING HORSE RED CHRISTMAS ,12,12/3/2010 14:04,0.85,14911,EIRE
45,536975,22246,"GARLAND, MAGIC GARDEN 1.8M",12,12/3/2010 14:04,1.95,14911,EIRE
46,536975,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,12/3/2010 14:04,2.95,14911,EIRE
47,536975,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,6,12/3/2010 14:04,2.95,14911,EIRE
48,536975,20668,DISCO BALL CHRISTMAS DECORATION,48,12/3/2010 14:04,0.12,14911,EIRE
49,536975,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,24,12/3/2010 14:04,0.85,14911,EIRE
50,536975,22952,60 CAKE CASES VINTAGE CHRISTMAS,24,12/3/2010 14:04,0.55,14911,EIRE
51,536975,21815,STAR  T-LIGHT HOLDER ,24,12/3/2010 14:04,1.45,14911,EIRE
52,536975,35967,FOLK ART METAL STAR T-LIGHT HOLDER,24,12/3/2010 14:04,0.38,14911,EIRE
