InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536944,22383,LUNCH BAG SUKI  DESIGN ,70,12/3/2010 12:20,1.65,12557,Spain
536944,22384,LUNCH BAG PINK POLKADOT,100,12/3/2010 12:20,1.45,12557,Spain
536944,20727,LUNCH BAG  BLACK SKULL.,60,12/3/2010 12:20,1.65,12557,Spain
536944,20725,LUNCH BAG RED RETROSPOT,70,12/3/2010 12:20,1.65,12557,Spain
536944,20728,LUNCH BAG CARS BLUE,100,12/3/2010 12:20,1.45,12557,Spain
538095,22504,CABIN BAG VINTAGE RETROSPOT,1,12/9/2010 14:55,29.95,17097,Spain
538095,22212,FOUR HOOK  WHITE LOVEBIRDS,1,12/9/2010 14:55,2.1,17097,Spain
538095,22953,BIRTHDAY PARTY CORDON BARRIER TAPE,1,12/9/2010 14:55,1.25,17097,Spain
538095,84818,DANISH ROSE PHOTO FRAME,1,12/9/2010 14:55,2.55,17097,Spain
538095,21114,LAVENDER SCENTED FABRIC HEART,5,12/9/2010 14:55,1.25,17097,Spain
538095,84692,BOX OF 24 COCKTAIL PARASOLS,1,12/9/2010 14:55,0.42,17097,Spain
538095,22796,PHOTO FRAME 3 CLASSIC HANGING,2,12/9/2010 14:55,9.95,17097,Spain
538095,40001,WHITE BAMBOO RIBS LAMPSHADE,1,12/9/2010 14:55,0.85,17097,Spain
538095,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,1,12/9/2010 14:55,1.45,17097,Spain
538095,21883,STARS GIFT TAPE ,2,12/9/2010 14:55,0.65,17097,Spain
538095,21879,HEARTS GIFT TAPE,2,12/9/2010 14:55,0.65,17097,Spain
538095,22494,EMERGENCY FIRST AID TIN ,2,12/9/2010 14:55,1.25,17097,Spain
538095,47566,PARTY BUNTING,1,12/9/2010 14:55,4.65,17097,Spain
538095,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/9/2010 14:55,2.95,17097,Spain
538095,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,1,12/9/2010 14:55,3.75,17097,Spain
538095,22914,BLUE COAT RACK PARIS FASHION,1,12/9/2010 14:55,4.95,17097,Spain
538095,22913,RED COAT RACK PARIS FASHION,1,12/9/2010 14:55,4.95,17097,Spain
538095,22912,YELLOW COAT RACK PARIS FASHION,1,12/9/2010 14:55,4.95,17097,Spain
538095,22631,CIRCUS PARADE LUNCH BOX ,1,12/9/2010 14:55,1.95,17097,Spain
538095,22497,SET OF 2 TINS VINTAGE BATHROOM ,2,12/9/2010 14:55,4.25,17097,Spain
538095,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,2,12/9/2010 14:55,0.85,17097,Spain
538095,22862,LOVE HEART NAPKIN BOX ,1,12/9/2010 14:55,4.25,17097,Spain
538095,22726,ALARM CLOCK BAKELIKE GREEN,2,12/9/2010 14:55,3.75,17097,Spain
538095,20828,GLITTER BUTTERFLY CLIPS,1,12/9/2010 14:55,2.55,17097,Spain
538095,20829,GLITTER HANGING BUTTERFLY STRING,1,12/9/2010 14:55,2.1,17097,Spain
538095,72819,CUPID DESIGN SCENTED CANDLES,1,12/9/2010 14:55,2.55,17097,Spain
538095,22500,SET OF 2 TINS JARDIN DE PROVENCE,2,12/9/2010 14:55,4.95,17097,Spain
538095,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,3,12/9/2010 14:55,0.85,17097,Spain
538095,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,3,12/9/2010 14:55,0.85,17097,Spain
538095,22571,ROCKING HORSE RED CHRISTMAS ,3,12/9/2010 14:55,0.85,17097,Spain
538095,22572,ROCKING HORSE GREEN CHRISTMAS ,3,12/9/2010 14:55,0.85,17097,Spain
538095,22338,STAR DECORATION PAINTED ZINC ,2,12/9/2010 14:55,0.65,17097,Spain
538095,22335,HEART DECORATION PAINTED ZINC ,2,12/9/2010 14:55,0.65,17097,Spain
538095,22573,STAR WOODEN CHRISTMAS DECORATION,3,12/9/2010 14:55,0.85,17097,Spain
538095,35958,FOLKART ZINC STAR CHRISTMAS DEC,2,12/9/2010 14:55,0.85,17097,Spain
538095,35961,FOLKART ZINC HEART CHRISTMAS DEC,2,12/9/2010 14:55,0.85,17097,Spain
538095,22469,HEART OF WICKER SMALL,1,12/9/2010 14:55,1.65,17097,Spain
538095,22695,WICKER WREATH SMALL,1,12/9/2010 14:55,1.45,17097,Spain
538095,21217,RED RETROSPOT ROUND CAKE TINS,1,12/9/2010 14:55,9.95,17097,Spain
538095,22809,SET OF 6 T-LIGHTS SANTA,2,12/9/2010 14:55,2.95,17097,Spain
538525,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,36,12/13/2010 9:39,2.55,12540,Spain
538525,21164,HOME SWEET HOME METAL SIGN ,12,12/13/2010 9:39,2.95,12540,Spain
538525,21506,"FANCY FONT BIRTHDAY CARD, ",24,12/13/2010 9:39,0.42,12540,Spain
538525,22023,EMPIRE BIRTHDAY CARD,12,12/13/2010 9:39,0.42,12540,Spain
538525,22819,"BIRTHDAY CARD, RETRO SPOT",12,12/13/2010 9:39,0.42,12540,Spain
538525,21519,GIN & TONIC DIET GREETING CARD ,12,12/13/2010 9:39,0.42,12540,Spain
538525,22030,SWALLOWS GREETING CARD,12,12/13/2010 9:39,0.42,12540,Spain
538525,22620,4 TRADITIONAL SPINNING TOPS,12,12/13/2010 9:39,1.25,12540,Spain
538525,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,12/13/2010 9:39,0.29,12540,Spain
538525,22553,PLASTERS IN TIN SKULLS,24,12/13/2010 9:39,1.65,12540,Spain
